Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/humhub/,355,213,35000.0,52644.67145549204,279.5304000028409,398247.8971000528,12965.732394366198,0.6514539195733305,0.3908723517439983,35000,40000,46000,54000,149000,167000,179000,307000,398000,398000,398000
POST,/humhub/index.php?r=comment%2Fcomment%2Fpost,811,469,31000.0,53736.27308729841,307.73930001305416,398285.5715000187,13669.435265104808,1.4882510669689326,0.8606532064222311,31000,37000,45000,53000,150000,178000,267000,311000,398000,398000,398000
POST,/humhub/index.php?r=like%25%02Flike%25%02Flike&contentModel=humhub%255Cmodules%255Cpost%255Cmodels%255CPost&contentId=3,606,370,36000.0,55218.74778531427,1384.6712000085972,398272.90619997075,12623.506600660066,1.112059366933629,0.6789801415271333,36000,44000,50000,61000,152000,176000,208000,270000,398000,398000,398000
GET,/humhub/index.php?r=space%25%02Fspace&cguid=e4e72610-35d6-4ab8-8be0-18489a83ee0f,1623,998,34000.0,51134.530257917475,22.88050000788644,398603.2217000029,12482.603203943316,2.978337215401452,1.8314113006596728,34000,41000,47000,53000,145000,167000,197000,270000,399000,399000,399000
POST,/humhub/index.php?r=space%25%02Fspace&cguid=e4e72610-35d6-4ab8-8be0-18489a83ee0f,569,310,30000.0,52818.4400372586,596.2188000557944,398509.8882999737,14754.572934973638,1.0441613527809157,0.5688752537119225,30000,37000,45000,50000,146000,175000,269000,311000,399000,399000,399000
POST,/humhub/index.php?r=user%25%02Fauth%25%02Flogin,1304,684,33000.0,65661.07186855847,541.2954000057653,398275.99689998897,15411.916411042945,2.392946228517248,1.255195721093403,33000,49000,115000,132000,170000,204000,216000,269000,390000,398000,398000
GET,/humhub/index.php?r=user%25%02Fpeople,344,216,37000.0,57876.21271133658,222.12360001867637,387744.8558000033,12061.380813953489,0.6312680234738752,0.39637759613475887,37000,44000,52000,65000,157000,177000,217000,319000,388000,388000,388000
POST,/humhub/index.php?r=user%25%02Fprofile%25%02Ffollow&cguid=8f3d6c9e-d163-4f69-b804-aea5c6ffd09a,243,120,29000.0,59804.71438477285,2471.227700007148,397243.6371000367,16407.378600823045,0.4459247956516037,0.2202097756304216,29000,41000,51000,134000,158000,169000,266000,308000,397000,397000,397000
GET,/humhub/index.php?r=user%25%02Fprofile&cguid=8f3d6c9e-d163-4f69-b804-aea5c6ffd09a,292,176,32000.0,52013.634045547726,4418.982500035781,346838.63800001564,12877.089041095891,0.5358437873673592,0.322974337591285,32000,40000,45000,49000,141000,172000,269000,311000,347000,347000,347000
,Aggregated,6147,3556,33000.0,55966.903142069255,22.88050000788644,398603.2217000029,13663.017081503172,11.280245756668347,6.525549684514827,33000,42000,50000,87000,154000,179000,217000,307000,398000,399000,399000
